date,HS2,Import,text,rank,iall,share
2021,94,31.4468,"94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",4,531.5798,5.9
2021,39,27.0523,39 - Plastics and articles thereof,5,531.5798,5.1
2022,85,145.8077,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,565.6949,25.8
2022,84,112.7703,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",2,565.6949,19.9
2022,95,42.7686,"95 - Toys, games and sports requisites; parts and accessories thereof",3,565.6949,7.6
2022,94,29.6664,"94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",4,565.6949,5.2
2022,39,26.4119,39 - Plastics and articles thereof,5,565.6949,4.7
2022,87,19.5965,"87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6,565.6949,3.5
2022,Other,129.0512,Other,,565.6949,22.8
2022,73,16.4642,73 - Iron or steel articles,7,565.6949,2.9
2022,64,14.7795,64 - Footwear; gaiters and the like; parts of such articles,8,565.6949,2.6
2022,29,14.2945,29 - Organic chemicals,9,565.6949,2.5
2022,90,14.0841,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",10,565.6949,2.5
2023,95,33.3889,"95 - Toys, games and sports requisites; parts and accessories thereof",3,437.9638,7.6
2023,94,20.2855,"94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",4,437.9638,4.6
2023,39,20.1552,39 - Plastics and articles thereof,5,437.9638,4.6
2023,87,16.414,"87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6,437.9638,3.7
2023,90,11.7905,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",7,437.9638,2.7
2023,73,11.7147,73 - Iron or steel articles,8,437.9638,2.7
2023,64,10.0391,64 - Footwear; gaiters and the like; parts of such articles,9,437.9638,2.3
2023,61,9.9961,61 - Apparel and clothing accessories; knitted or crocheted,10,437.9638,2.3
2023,85,126.6791,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,437.9638,28.9
2023,84,85.8894,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",2,437.9638,19.6
2023,Other,91.6113,Other,,437.9638,20.9
