date,HS2,Export,text,rank,eall,share
2021,12,15.0409,"12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",4,149.7261,10
2021,90,10.7543,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",5,149.7261,7.2
2022,12,18.8787,"12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,152.1587,12.4
2022,85,16.0051,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,152.1587,10.5
2022,84,14.9156,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",3,152.1587,9.8
2022,27,13.4727,"27 - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",4,152.1587,8.9
2022,90,10.9315,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",5,152.1587,7.2
2022,30,9.2972,30 - Pharmaceutical products,6,152.1587,6.1
2022,Other,41.3279,Other,,152.1587,27.2
2022,10,7.4891,10 - Cereals,7,152.1587,4.9
2022,87,7.2996,"87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8,152.1587,4.8
2022,39,7.013,39 - Plastics and articles thereof,9,152.1587,4.6
2022,88,5.5283,"88 - Aircraft, spacecraft, and parts thereof",10,152.1587,3.6
2023,84,13.7229,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",3,145.6252,9.4
2023,85,11.6442,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",4,145.6252,8
2023,90,11.3051,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",5,145.6252,7.8
2023,30,9.8966,30 - Pharmaceutical products,6,145.6252,6.8
2023,87,8.1386,"87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7,145.6252,5.6
2023,39,7.4473,39 - Plastics and articles thereof,8,145.6252,5.1
2023,88,6.8136,"88 - Aircraft, spacecraft, and parts thereof",9,145.6252,4.7
2023,29,4.2051,29 - Organic chemicals,10,145.6252,2.9
2023,27,19.7352,"27 - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,145.6252,13.6
2023,12,15.8502,"12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,145.6252,10.9
2023,Other,36.8664,Other,,145.6252,25.3
